City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Linares,CL,2021-09-26 13:03:35,-35.85,-71.6,48.67,81,100,6.78
68,Faanui,PF,2021-09-26 13:03:35,-16.4833,-151.75,78.53,76,5,13.51
69,Mokhsogollokh,RU,2021-09-26 13:03:35,61.4681,128.9203,32.11,88,73,3.58
70,East London,ZA,2021-09-26 13:00:24,-33.0153,27.9116,70.2,64,11,8.61
71,Turukhansk,RU,2021-09-26 13:03:36,65.8167,87.9833,36.5,83,10,7.76
72,Inirida,CO,2021-09-26 13:03:36,3.8653,-67.9239,79.05,83,40,1.1
73,Portland,US,2021-09-26 12:58:52,45.5234,-122.6762,59.36,83,53,5.01
74,Rakovski,BG,2021-09-26 13:03:36,42.3,24.9667,84.61,27,0,4.88
75,Port Shepstone,ZA,2021-09-26 13:03:37,-30.7414,30.455,70.43,75,95,13.4
76,Torbay,CA,2021-09-26 13:03:21,47.6666,-52.7314,58.57,75,100,4.0
77,Nikolskoye,RU,2021-09-26 13:03:37,59.7035,30.7861,52.88,75,96,8.86
78,Kahului,US,2021-09-26 13:03:37,20.8947,-156.47,77.85,85,1,5.75
79,Dikson,RU,2021-09-26 13:03:38,73.5069,80.5464,36.7,81,100,19.62
80,Hilo,US,2021-09-26 13:03:38,19.7297,-155.09,76.28,89,20,5.75
81,Albany,US,2021-09-26 12:59:21,42.6001,-73.9662,61.27,77,98,8.86
82,Richards Bay,ZA,2021-09-26 13:03:38,-28.783,32.0377,74.53,67,22,13.27
83,Sinnamary,GF,2021-09-26 13:03:39,5.3833,-52.95,84.78,66,13,7.85
84,Arraial Do Cabo,BR,2021-09-26 13:03:39,-22.9661,-42.0278,76.86,65,0,12.66
85,Thompson,CA,2021-09-26 13:03:40,55.7435,-97.8558,40.69,94,9,3.18
86,Cockburn Town,TC,2021-09-26 13:03:40,21.4612,-71.1419,82.24,73,0,4.52
87,Komsomolskiy,UZ,2021-09-26 13:03:40,40.4272,71.7189,86.72,14,0,4.61
88,Butaritari,KI,2021-09-26 13:03:41,3.0707,172.7902,82.81,77,94,14.63
89,Saint George,US,2021-09-26 13:00:13,37.1041,-113.5841,69.53,49,100,3.0
90,Monterey,US,2021-09-26 12:59:11,36.2505,-121.2516,53.26,1,6,4.23
91,Lieksa,FI,2021-09-26 13:03:41,63.3167,30.0167,51.12,77,97,6.89
92,Uva,RU,2021-09-26 13:03:42,56.9908,52.1852,54.46,85,70,4.63
93,Samana,DO,2021-09-26 13:03:42,19.2056,-69.3369,82.36,83,20,0.0
94,Freeport,US,2021-09-26 13:02:27,40.6576,-73.5832,67.01,71,20,5.99
95,Aku,NG,2021-09-26 13:03:42,6.7081,7.3167,80.26,72,86,6.67
96,Zig,US,2021-09-26 13:03:43,40.127,-92.7663,59.92,59,1,1.99
97,Paamiut,GL,2021-09-26 13:03:13,61.994,-49.6678,33.71,46,7,8.43
98,Kapaa,US,2021-09-26 13:03:43,22.0752,-159.319,77.32,83,75,1.01
99,Riesa,DE,2021-09-26 13:03:43,51.3,13.3,82.26,60,0,4.16
100,Nanyang,CN,2021-09-26 13:03:44,32.9947,112.5328,66.96,86,100,9.04
